index   scene   spawn   music   title   fadein  fadeout 
0x007B      70       0    stop      on      34       4
0x007C      69       0    stop      on      34       4
0x007D      70       0    stop      on      34       4
0x007E      77       0    stop      on       2       2
0x007F      77       0    stop      on       2       2
0x0080      77       0    stop      on       2       2
0x0081      77       0    stop      on       2       2
0x0082       6       0    stop      on       2       2
0x0083       6       0    stop      on       2       2
0x0084       6       0    stop      on       2       2
0x0085       6       0    stop      on       2       2
0x0086       6       0    stop      on       2       2
0x0087       6       0    stop      on       2       2
0x0088       9       0    stop      on       2       2
0x0089       9       0    stop      on       2       2
0x008A       9       0    stop      on       2       2
0x008B       9       0    stop      on       2       2
0x008C       9       0    stop      on       2       2
0x008D      23       0      go      on       2       2
0x008E      23       0      go      on       2       2
0x008F      23       0      go      on       2       2
0x0090      23       0      go      on       2       2
0x0091      23       0    stop      on       2       2
0x0092      23       0    stop      on       2       2
0x0093      23       0    stop      on       2       2
0x0094     101       0    stop      on       2       2
0x0095     101       0    stop      on       2       2
0x0096     101       0    stop      on       2       2
0x0097     101       0    stop      on       2       2
0x0098       8       0    stop      on       4       4
0x0099       8       0    stop      on       4       4
0x009A       8       0    stop      on       4       4
0x009B       8       0    stop      on       4       4
0x009C      39       0    stop      on       4       4
0x009D      39       0    stop      on       4       4
0x009E      39       0    stop      on       4       4
0x009F      39       0    stop      on       4       4
0x00A0      71       0    stop      on       3       3
0x00A1      71       0    stop      on       3       3
0x00A2      71       0    stop      on       3       3
0x00A3      71       0    stop      on       3       3
0x00A4      71       0    stop      on      10      10
0x00A5      71       0    stop      on       2      10
0x00A6      71       0      go      on      10      10
0x00A7      71       0    stop      on      11      11
0x00A8      71       0    stop      on       3       3
0x00A9      71       0    stop      on       2       2
0x00AA      71       0    stop      on       2       2
0x00AB      71       0    stop      on       3       3
0x00AC      71       0    stop      on       3       3
0x00AD      30       0      go      on       3       3
0x00AE      31       0      go      on       2       2
0x00AF      30       0      go      on       2       2
0x00B0      31       0      go      on       2       2
0x00B1      32       0      go      on       3       3
0x00B2      33       0      go      on       2       2
0x00B3      34       0      go      on       2       2
0x00B4      34       0      go      on       2       2
0x00B5      32       0    stop      on       8       8
0x00B6     103       0    stop      on       2       2
0x00B7      44       0    stop      on       4      32
0x00B8      44       0    stop      on       4      32
0x00B9      44       0    stop      on       4      32
0x00BA      44       0    stop      on       4      32
0x00BB      52       0    stop      on       4       4
0x00BC      52       0    stop      on       4       4
0x00BD      52       0    stop      on       4       4
0x00BE      52       0    stop      on       4       4
0x00BF      52       0    stop      on       4       2
0x00C0      52       0    stop      on      16      16
0x00C1      45       0    stop      on       4       4
0x00C2      45       0    stop      on       4       4
0x00C3      45       0    stop      on       4       4
0x00C4      45       0    stop      on       4       4
0x00C5       1       1      go     off       2       2
0x00C6       1       1      go     off       2       2
0x00C7       1       1      go     off       2       2
0x00C8       1       1      go     off       2       2
0x00C9      38       0    stop      on       4       4
0x00CA      38       0    stop      on       4       4
0x00CB      38       0    stop      on       4       4
0x00CC      38       0    stop      on       4       4
0x00CD      81       0    stop      on       3       3
0x00CE      81       0    stop      on       2       2
0x00CF      81       0    stop      on       3       3
0x00D0      81       0    stop      on       2       2
0x00D1      81       0    stop      on       4       2
0x00D2      81       0    stop      on      33      33
0x00D3      81       0    stop      on      33      33
0x00D4      81       0    stop      on      35      35
0x00D5      81       0    stop      on       3       3
0x00D6      81       0      go      on       2       2
0x00D7      81       0    stop      on      35      35
0x00D8      81       0    stop      on       3       3
0x00D9      81       0    stop      on      41      41
0x00DA      81       0      go      on       3       3
0x00DB      82       0    stop      on       3       3
0x00DC      82       0    stop      on       2       2
0x00DD      82       0    stop      on       3       3
0x00DE      82       0    stop      on       2       2
0x00DF      82       0    stop      on      38      38
0x00E0      82       0    stop      on      33      33
0x00E1      82       0      go      on      33      33
0x00E2      82       0    stop      on      33      33
0x00E3      82       0      go      on       2       2
0x00E4      83       0    stop      on       3       3
0x00E5      83       0    stop      on       2       2
0x00E6      83       0    stop      on       3       3
0x00E7      83       0    stop      on       2       2
0x00E8      83       0    stop      on       4       2
0x00E9      83       0      go      on       2       2
0x00EA      84       0      go      on       3       3
0x00EB      84       0      go      on       2       2
0x00EC      84       0      go      on       3       3
0x00ED      84       0      go      on       2       2
0x00EE      85       0    stop      on       3       3
0x00EF      85       0    stop      on       2       2
0x00F0      85       0    stop      on       3       3
0x00F1      85       0    stop      on       2       2
0x00F2      85       0      go      on      10      10
0x00F3      85       0    stop      on      10      10
0x00F4      85       0      go      on      10      10
0x00F5      85       0    stop      on      13      10
0x00F6      85       0    stop      on      10      10
0x00F7      85       0    stop      on      10      10
0x00F8      85       0      go      on       2       2
0x00F9      85       0      go      on       2       2
0x00FA      85       0      go      on       2       2
0x00FB      85       0      go      on       2       2
0x00FC      86       0      go      on       2       2
0x00FD      86       0      go      on       2       2
0x00FE      86       0      go      on       2       2
0x00FF      86       0      go      on       2       2
0x0100      86       0    stop      on       3       3
0x0101      86       0    stop      on       0       0
0x0102      87       0      go      on       3       3
0x0103      87       0      go      on       2       2
0x0104      87       0      go      on       3       3
0x0105      87       0      go      on       2       2
0x0106      87       0    stop      on       3       3
0x0107      87       0      go      on       2       2
0x0108      88       0    stop      on       2       2
0x0109      88       0    stop      on       2       2
0x010A      88       0    stop      on       2       2
0x010B      88       0    stop      on       2       2
0x010C      88       0      go      on       2       2
0x010D      88       0      go      on       2       2
0x010E      89       0    stop      on       3       3
0x010F      89       0    stop      on       2       2
0x0110      89       0    stop      on       3       3
0x0111      89       0    stop      on       2       2
0x0112      89       0    stop      on      13       0
0x0113      89       0    stop      on       2       2
0x0114      89       0      go      on       2       2
0x0115      89       0    stop      on       2       2
0x0116      89       0      go      on       2       2
0x0117      90       0    stop      on       3       3
0x0118      90       0    stop      on       2       2
0x0119      90       0    stop      on       3       3
0x011A      90       0    stop      on       2       2
0x011B      90       0      go      on      12      10
0x011C      90       0      go      on      10      10
0x011D      90       0      go      on       2       2
0x011E      91       0    stop      on       2       2
0x011F      91       0    stop      on       2       2
0x0120      91       0    stop      on       2       2
0x0121      91       0    stop      on       2       2
0x0122      91       0    stop      on       2       2
0x0123      92       0      go      on      15      15
0x0124      92       0      go      on      15      15
0x0125      92       0      go      on      15      15
0x0126      92       0      go      on      15      15
0x0127      92       0      go      on       2       2
0x0128      92       0      go      on      15      15
0x0129      93       0      go      on       3       3
0x012A      93       0      go      on       2       2
0x012B      93       0      go      on       3       3
0x012C      93       0      go      on       2       2
0x012D      93       0      go      on      33      33
0x012E      93       0      go      on       2       2
0x012F      93       0      go      on       2       2
0x0130      94       0      go      on      14      14
0x0131      94       0      go      on      14      14
0x0132      94       0      go      on      14      14
0x0133      94       0      go      on      14      14
0x0134      14       1      go      on       2       2
0x0135      14       1      go      on       2       2
0x0136      14       1      go      on       2       2
0x0137      14       1      go      on       2       2
0x0138      95       0    stop      on       3       3
0x0139      95       0    stop      on       2       2
0x013A     100       0    stop      on       2       2
0x013B     100       0    stop      on       2       2
0x013C     100       0    stop      on       4       2
0x013D      96       0    stop      on       3       3
0x013E      96       0    stop      on       2       2
0x013F      96       0    stop      on       3       3
0x0140      96       0    stop      on       2       2
0x0141      96       0      go      on      10      10
0x0142      96       0    stop      on       3       3
0x0143      96       0    stop      on       2       2
0x0144      96       0      go      on       2       2
0x0145      96       0      go      on       3       3
0x0146      96       0      go      on       3       3
0x0147      97       0    stop      on       2       2
0x0148      97       0    stop      on       2       2
0x0149      97       0    stop      on       2       2
0x014A      97       0    stop      on       2       2
0x014B      97       0    stop      on       3       3
0x014C      97       0    stop      on       2       2
0x014D      98       0    stop      on       2       2
0x014E      98       0    stop      on       2       2
0x014F      98       0    stop      on       2       2
0x0150      98       0    stop      on       2       2
0x0151      98       0    stop      on       2       2
0x0152      98       0      go      on       2       2
0x0153      88       3    stop      on       0       0
0x0154      88       3    stop      on       0       0
0x0155      88       3    stop      on       0       0
0x0156      88       3    stop      on       0       0
0x0157      99       0    stop      on       3       3
0x0158      99       0    stop      on       2       2
0x0159      99       0    stop      on       3       3
0x015A      99       0    stop      on       2       2
0x015B      99       0    stop      on      32      32
0x015C      99       0    stop      on      42      42
0x015D      99       0      go      on       2       2
0x015E      99       0      go      on       2       2
0x015F      99       0      go      on       2       2
0x0160      99       0      go      on       2       2
0x0161      99       0      go      on       2       2
0x0162      99       0      go      on       2       2
0x0163      99       0      go      on       2       2
0x0164      99       0      go      on       2       2
0x0165       4       0    stop      on       2       2
0x0166       4       0    stop      on       2       2
0x0167       4       0    stop      on       2       2
0x0168       4       0    stop      on       2       2
0x0169       3       0    stop      on       2       2
0x016A       3       0    stop      on       2       2
0x016B       3       0    stop      on       2       2
0x016C       3       0    stop      on       2       2
0x016D      66       1    stop      on       4      32
0x016E      66       1    stop      on       4      32
0x016F      66       1    stop      on       4      32
0x0170      66       1    stop      on       4      32
0x0171      35       0    stop      on       3       3
0x0172      36       0    stop      on       2       2
0x0173      37       0    stop      on       2       2
0x0174      37       0    stop      on       2       2
0x0175       4       1      go      on       2       2
0x0176       4       1      go      on       2       2
0x0177       4       1      go      on       2       2
0x0178       4       1      go      on       2       2
0x0179      14       0      go      on       2       2
0x017A      14       0      go      on       2       2
0x017B      14       0      go      on       2       2
0x017C      14       0      go      on       2       2
0x017D      81       1    stop      on       3       3
0x017E      81       1    stop      on       2       2
0x017F      81       1    stop      on       3       3
0x0180      81       1    stop      on       2       2
0x0181      81       2      go      on       3       3
0x0182      81       2      go      on       2       2
0x0183      81       2      go      on       3       3
0x0184      81       2      go      on       2       2
0x0185      81       3    stop      on       2       2
0x0186      81       3    stop      on       2       2
0x0187      81       3    stop      on       2       2
0x0188      81       3    stop      on       2       2
0x0189      81       4      go      on       3       3
0x018A      81       4      go      on       2       2
0x018B      81       4      go      on       3       3
0x018C      81       4      go      on       2       2
0x018D      81       5    stop      on       3       3
0x018E      81       5    stop      on       2       2
0x018F      81       5    stop      on       3       3
0x0190      81       5    stop      on       2       2
0x0191      82       1    stop      on       3       3
0x0192      82       1    stop      on       2       2
0x0193      82       1    stop      on       3       3
0x0194      82       1    stop      on       2       2
0x0195      82       2    stop      on       3       3
0x0196      82       2    stop      on       2       2
0x0197      82       2    stop      on       3       3
0x0198      82       2    stop      on       2       2
0x0199      84       1      go      on       3       3
0x019A      84       1      go      on       3       3
0x019B      84       1      go      on       3       3
0x019C      84       1      go      on       3       3
0x019D      84       2    stop      on       3       3
0x019E      84       2    stop      on       2       2
0x019F      84       2    stop      on       3       3
0x01A0      84       2    stop      on       2       2
0x01A1      88       1    stop      on       2       2
0x01A2      88       1    stop      on       2       2
0x01A3      88       1    stop      on       2       2
0x01A4      88       1    stop      on       2       2
0x01A5      90       1    stop      on       3       3
0x01A6      90       1    stop      on       2       2
0x01A7      90       1    stop      on       3       3
0x01A8      90       1    stop      on       2       2
0x01A9      91       1      go      on       2       2
0x01AA      91       1      go      on       2       2
0x01AB      91       1      go      on       2       2
0x01AC      91       1      go      on       2       2
0x01AD      91       2    stop      on       2       2
0x01AE      91       2    stop      on       2       2
0x01AF      91       2    stop      on       2       2
0x01B0      91       2    stop      on       2       2
0x01B1      91       3    stop      on       2       2
0x01B2      91       3    stop      on       2       2
0x01B3      91       3    stop      on       2       2
0x01B4      91       3    stop      on       2       2
0x01B5      14       2      go      on       2       2
0x01B6      14       2      go      on       2       2
0x01B7      14       2      go      on       2       2
0x01B8      14       2      go      on       2       2
0x01B9      96       1    stop      on       3       3
0x01BA      96       1    stop      on       2       2
0x01BB      96       1    stop      on       3       3
0x01BC      96       1    stop      on       2       2
0x01BD      96       2    stop      on       3       3
0x01BE      96       2    stop      on       2       2
0x01BF      96       2    stop      on       3       3
0x01C0      96       2    stop      on       2       2
0x01C1      98       1    stop      on       2       2
0x01C2      98       1    stop      on       2       2
0x01C3      98       1    stop      on       2       2
0x01C4      98       1    stop      on       2       2
0x01C5      56       1    stop      on       4      32
0x01C6      56       1    stop      on       4      32
0x01C7      56       1    stop      on       4      32
0x01C8      56       1    stop      on       4      32
0x01C9      26       5      go      on       2       2
0x01CA      26       5      go      on       2       2
0x01CB      26       5      go      on       2       2
0x01CC      26       5      go      on       2       2
0x01CD      32       8    stop      on       4       2
0x01CE      33       8    stop      on       4       2
0x01CF      34       8    stop      on       4       2
0x01D0      34       8    stop      on       4       2
0x01D1      32       9    stop      on       4       2
0x01D2      33       9    stop      on       4       2
0x01D3      34       9    stop      on       4       2
0x01D4      34       9    stop      on       4       2
0x01D5      32      10    stop      on       4       2
0x01D6      33      10    stop      on       4       2
0x01D7      34      10    stop      on       4       2
0x01D8      34      10    stop      on       4       2
0x01D9      84       3      go      on       3       3
0x01DA      84       3      go      on       2       2
0x01DB      84       3      go      on       3       3
0x01DC      84       3      go      on       2       2
0x01DD      84       4    stop      on      44      44
0x01DE      84       4    stop      on      44      44
0x01DF      84       4    stop      on      44      44
0x01E0      84       4    stop      on      44      44
0x01E1      92       1    stop      on       3       3
0x01E2      92       1    stop      on       2       2
0x01E3      92       1    stop      on       3       3
0x01E4      92       1    stop      on       2       2
0x01E5      92       2    stop     off       3       3
0x01E6      92       2    stop     off       2       2
0x01E7      92       2    stop     off       3       3
0x01E8      92       2    stop     off       2       2
0x01E9      92       3    stop     off       3       3
0x01EA      92       3    stop     off       2       2
0x01EB      92       3    stop     off       3       3
0x01EC      92       3    stop     off       2       2
0x01ED      92       4    stop      on       2       2
0x01EE      92       4    stop      on       2       2
0x01EF      92       4    stop      on       2       2
0x01F0      92       4    stop      on       2       2
0x01F1      92       5    stop      on       3       3
0x01F2      92       5    stop      on       2       2
0x01F3      92       5    stop      on       3       3
0x01F4      92       5    stop      on       2       2
0x01F5      92       6      go     off      15      15
0x01F6      92       6      go     off      15      15
0x01F7      92       6      go     off      15      15
0x01F8      92       6      go     off      15      15
0x01F9      81       6    stop      on       3       3
0x01FA      81       6    stop      on       2       2
0x01FB      81       6    stop      on       3       3
0x01FC      81       6    stop      on       2       2
0x01FD      81       7    stop      on       3       3
0x01FE      81       7    stop      on       2       2
0x01FF      81       7    stop      on       3       3
0x0200      81       7    stop      on       2       2
0x0201      82       3    stop      on       4       2
0x0202      82       3    stop      on       4       2
0x0203      82       3    stop      on       4       2
0x0204      82       3    stop      on       4       2
0x0205      83       1    stop      on       2       2
0x0206      83       1    stop      on       2       2
0x0207      83       1    stop      on       2       2
0x0208      83       1    stop      on       2       2
0x0209      85       1    stop      on       3       3
0x020A      85       1    stop      on       2       2
0x020B      85       1    stop      on       3       3
0x020C      85       1    stop      on       2       2
0x020D      85       2    stop      on       2       2
0x020E      85       2    stop      on       2       2
0x020F      85       2    stop      on       2       2
0x0210      85       2    stop      on       2       2
0x0211      85       3    stop      on       4       4
0x0212      85       3    stop      on       4       4
0x0213      85       3    stop      on       4       4
0x0214      85       3    stop      on       4       4
0x0215      86       1    stop      on      18      18
0x0216      86       1    stop      on       2       2
0x0217      86       1    stop      on      18      18
0x0218      86       1    stop      on       2       2
0x0219      87       1    stop      on       3       3
0x021A      87       1    stop      on       2       2
0x021B      87       1    stop      on       3       3
0x021C      87       1    stop      on       2       2
0x021D      87       2    stop      on      19      19
0x021E      87       2    stop      on       2       2
0x021F      87       2    stop      on      19      19
0x0220      87       2    stop      on       2       2
0x0221      89       1    stop      on       2       2
0x0222      89       1    stop      on       2       2
0x0223      89       1    stop      on       2       2
0x0224      89       1    stop      on       2       2
0x0225      89       2    stop      on       3       3
0x0226      89       2    stop      on       2       2
0x0227      89       2    stop      on       3       3
0x0228      89       2    stop      on       2       2
0x0229      90       2      go      on       3       3
0x022A      90       2      go      on       2       2
0x022B      90       2      go      on       3       3
0x022C      90       2      go      on       2       2
0x022D      90       3      go      on       3       3
0x022E      90       3      go      on       2       2
0x022F      90       3      go      on       3       3
0x0230      90       3      go      on       2       2
0x0231      93       1    stop      on       3       3
0x0232      93       1    stop      on       2       2
0x0233      93       1    stop      on       3       3
0x0234      93       1    stop      on       2       2
0x0235      93       2    stop      on       3       3
0x0236      93       2    stop      on       2       2
0x0237      93       2    stop      on       3       3
0x0238      93       2    stop      on       2       2
0x0239      93       3    stop      on       3       3
0x023A      93       3    stop      on       2       2
0x023B      93       3    stop      on       3       3
0x023C      93       3    stop      on       2       2
0x023D      95       1    stop      on       3       3
0x023E      95       1    stop      on       2       2
0x023F     100       1    stop      on       5       5
0x0240     100       1    stop      on       5       5
0x0241      95       1    stop      on       0       0
0x0242      96       3    stop      on       3       3
0x0243      96       3    stop      on       2       2
0x0244      96       3    stop      on       3       3
0x0245      96       3    stop      on       2       2
0x0246      97       1    stop      on       2       2
0x0247      97       1    stop      on       2       2
0x0248      97       1    stop      on       2       2
0x0249      97       1    stop      on       2       2
0x024A      97       2    stop      on       2       2
0x024B      97       2    stop      on       2       2
0x024C      97       2    stop      on       2       2
0x024D      97       2    stop      on       2       2
0x024E       3       1      go      on       2       2
0x024F       3       1      go      on       2       2
0x0250       3       1      go      on       2       2
0x0251       3       1      go      on       2       2
0x0252       0       1      go     off       2       2
0x0253       0       1      go     off       2       2
0x0254       0       1      go     off       2       2
0x0255       0       1      go     off       2       2
0x0256      14       3      go      on       2       2
0x0257      14       3      go      on       2       2
0x0258      14       3      go      on       2       2
0x0259      14       3      go      on       2       2
0x025A      32       1    stop      on       3       3
0x025B      33       1    stop      on       2       2
0x025C      34       1    stop      on       2       2
0x025D      34       1    stop      on       2       2
0x025E      32       2    stop      on       3       3
0x025F      33       2    stop      on       2       2
0x0260      34       2    stop      on       2       2
0x0261      34       2    stop      on       2       2
0x0262      32       3      go      on       3       3
0x0263      33       3      go      on       2       2
0x0264      34       3      go      on       2       2
0x0265      34       3      go      on       2       2
0x0266      85       4    stop     off       4       4
0x0267      85       4    stop     off       4       4
0x0268      85       4    stop     off       4       4
0x0269      85       4    stop     off       4       4
0x026A      85       5    stop     off       4       4
0x026B      85       5    stop     off       4       4
0x026C      85       5    stop     off       4       4
0x026D      85       5    stop     off       4       4
0x026E      27       2    stop     off       2       2
0x026F      28       2    stop     off       2       2
0x0270      29       2    stop     off       2       2
0x0271      29       2    stop     off       2       2
0x0272      52       1    stop      on       4       4
0x0273      52       1    stop      on       4       4
0x0274      52       1    stop      on       4       4
0x0275      52       1    stop      on       4       4
0x0276      27       1    stop      on       3       3
0x0277      28       1    stop      on       2       2
0x0278      29       1    stop      on       2       2
0x0279      29       1    stop      on       2       2
0x027A      81       8      go      on       3       3
0x027B      81       8      go      on       2       2
0x027C      81       8      go      on       3       3
0x027D      81       8      go      on       2       2
0x027E      81       9    stop      on       3       3
0x027F      81       9    stop      on       3       3
0x0280      81       9    stop      on       3       3
0x0281      81       9    stop      on       3       3
0x0282      81      10    stop      on       3       3
0x0283      81      10    stop      on       3       3
0x0284      81      10    stop      on       3       3
0x0285      81      10    stop      on       3       3
0x0286      85       6    stop      on       2       2
0x0287      85       6    stop      on       2       2
0x0288      85       6    stop      on       2       2
0x0289      85       6    stop      on       2       2
0x028A      81      11    stop      on       5       5
0x028B      81      11    stop      on       4       2
0x028C      81      11    stop      on       5       5
0x028D      81      11    stop      on       4       2
0x028E      81      12    stop      on       5       5
0x028F      81      12    stop      on       4       2
0x0290      81      12    stop      on       5       5
0x0291      81      12    stop      on       4       2
0x0292      81      13    stop      on       5       5
0x0293      81      13    stop      on       4       2
0x0294      81      13    stop      on       5       5
0x0295      81      13    stop      on       4       2
0x0296      69       1    stop      on       3       3
0x0297      70       1    stop      on       2       2
0x0298      69       1    stop      on       3       3
0x0299      70       1    stop      on       2       2
0x029A      30       1      go      on       3       3
0x029B      31       1      go      on       2       2
0x029C      30       1      go      on       2       2
0x029D      31       1      go      on       2       2
0x029E      32       4      go      on       3       3
0x029F      33       4      go      on       2       2
0x02A0      34       4      go      on       2       2
0x02A1      34       4      go      on       2       2
0x02A2      32       5    stop      on       4       2
0x02A3      33       5    stop      on       4       2
0x02A4      34       5    stop      on       4       2
0x02A5      34       5    stop      on       4       2
0x02A6      82       4    stop      on       2       2
0x02A7      82       4    stop      on       2       2
0x02A8      82       4    stop      on       2       2
0x02A9      82       4    stop      on       2       2
0x02AA      93       4    stop      on       3       3
0x02AB      93       4    stop      on       2       2
0x02AC      93       4    stop      on       3       3
0x02AD      93       4    stop      on       2       2
0x02AE      99       1    stop     off       3       3
0x02AF      99       1    stop     off       2       2
0x02B0      99       1    stop     off       3       3
0x02B1      99       1    stop     off       2       2
0x02B2       7       1    stop      on       2       2
0x02B3       7       1    stop      on       2       2
0x02B4       7       1    stop      on       2       2
0x02B5       7       1    stop      on       2       2
0x02B6       7       2      go      on       2       2
0x02B7       7       2      go      on       2       2
0x02B8       7       2      go      on       2       2
0x02B9       7       2      go      on       2       2
0x02BA      93       5    stop      on       3       3
0x02BB      93       5    stop      on       2       2
0x02BC      93       5    stop      on       3       3
0x02BD      93       5    stop      on       2       2
0x02BE      93       6    stop      on       3       3
0x02BF      93       6    stop      on       2       2
0x02C0      93       6    stop      on       3       3
0x02C1      93       6    stop      on       2       2
0x02C2      93       7    stop      on       3       3
0x02C3      93       7    stop      on       2       2
0x02C4      93       7    stop      on       3       3
0x02C5      93       7    stop      on       2       2
0x02C6      93       8    stop      on       3       3
0x02C7      93       8    stop      on       2       2
0x02C8      93       8    stop      on       3       3
0x02C9      93       8    stop      on       2       2
0x02CA      67       2    stop      on      10      10
0x02CB      67       2    stop      on      10      10
0x02CC      67       2    stop      on      10      10
0x02CD      67       2    stop      on      10      10
0x02CE      68       1    stop      on       2       2
0x02CF      68       1    stop      on       2       2
0x02D0      68       1    stop      on       2       2
0x02D1      68       1    stop      on       2       2
0x02D2      93       9    stop      on       3       3
0x02D3      93       9    stop      on       2       2
0x02D4      93       9    stop      on       3       3
0x02D5      93       9    stop      on       2       2
0x02D6      93      10    stop      on       3       3
0x02D7      93      10    stop      on       2       2
0x02D8      93      10    stop      on       3       3
0x02D9      93      10    stop      on       2       2
0x02DA      93      11    stop      on       3       3
0x02DB      93      11    stop      on       2       2
0x02DC      93      11    stop      on       3       3
0x02DD      93      11    stop      on       2       2
0x02DE      93      12    stop      on       3       3
0x02DF      93      12    stop      on       2       2
0x02E0      93      12    stop      on       3       3
0x02E1      93      12    stop      on       2       2
0x02E2      99       2    stop      on       3       3
0x02E3      99       2    stop      on       2       2
0x02E4      99       2    stop      on       3       3
0x02E5      99       2    stop      on       2       2
0x02E6      99       3    stop      on       3       3
0x02E7      99       3    stop      on       2       2
0x02E8      99       3    stop      on       3       3
0x02E9      99       3    stop      on       2       2
0x02EA      66       0    stop      on       2       2
0x02EB      66       0    stop      on       2       2
0x02EC      66       0    stop      on       2       2
0x02ED      66       0    stop      on       2       2
0x02EE      86       0    stop      on       2       2
0x02EF      71       0    stop      on       2       2
0x02F0      66       0    stop      on       2       2
0x02F1      66       0    stop      on       2       2
0x02F2      66       0    stop      on       2       2
0x02F3      66       0    stop      on       2       2
0x02F4      66       0    stop      on       2       2
0x02F5       6       1      go      on       2       2
0x02F6       6       1      go      on       2       2
0x02F7       6       1      go      on       2       2
0x02F8       6       1      go      on       2       2
0x02F9      54       0    stop      on       4      32
0x02FA      54       0    stop      on       4      32
0x02FB      54       0    stop      on       4      32
0x02FC      54       0    stop      on       4      32
0x02FD      42       0    stop      on       4      32
0x02FE      42       0    stop      on       4      32
0x02FF      42       0    stop      on       4      32
0x0300      42       0    stop      on       4      32
